ObjectName,OrbitalRadius[km],Inclination[deg],RAAN[deg],Anomaly[deg]
STARLINK-2387,6848.87859599517,53.1594,153.8058,277.2276
STARLINK-2388,6848.86406688483,53.1572,127.8389,273.9709
STARLINK-2389,6848.87463133493,53.1591,153.5174,283.2069
STARLINK-2391,6848.89149459492,53.1607,164.3055,262.1209
STARLINK-2395,6848.89049001032,53.1571,153.5799,273.3406
STARLINK-2396,6848.88642398028,53.1574,153.4733,280.842
STARLINK-2399,6848.89259158979,53.1611,166.7992,267.7589
STARLINK-2400,6848.9128950172,53.1596,151.9569,263.8544
STARLINK-2402,6848.9041249674,53.1624,151.8907,242.1134
STARLINK-2406,6848.87511722907,53.1594,151.7225,265.9905
STARLINK-2407,6848.88611097969,53.1586,163.8453,273.8096
STARLINK-2408,6848.93049780215,53.1587,166.6981,266.7122
STARLINK-2409,6853.37240292722,53.1621,169.1102,254.1559
STARLINK-2410,6848.88150540363,53.1581,153.6437,271.6194
STARLINK-2411,6848.85848658226,53.1598,156.2522,279.9473
STARLINK-2413,6848.87562100898,53.1603,151.5066,273.8539
STARLINK-2415,6848.9091956148,53.1571,165.9701,261.7078
STARLINK-2419,6848.89906327231,53.1602,164.2393,264.7291
STARLINK-2420,6848.87013011109,53.1598,151.4814,269.5201
STARLINK-2422,6848.91305002853,53.162,154.492,258.6931
STARLINK-2423,6848.91564050763,53.1619,164.9058,256.5208
STARLINK-2424,6848.89807358979,53.1611,155.7966,240.472
STARLINK-2426,6848.89455902736,53.1597,153.9004,245.9865
STARLINK-2427,6848.88744644915,53.1589,149.8312,269.6556
STARLINK-2429,6848.88077208932,53.1577,154.468,275.7374
STARLINK-2431,6848.90019007995,53.1578,126.1992,250.0385
STARLINK-2432,6848.89570371895,53.1613,148.1851,232.8402
STARLINK-2433,6848.87817270035,53.1585,149.9365,266.0322
STARLINK-2435,6848.88817380332,53.1605,164.0464,256.003
STARLINK-2446,6847.92291224982,53.1581,156.71,269.3716
STARLINK-2453,6848.87814289085,53.1591,169.2173,279.1357
STARLINK-2280,6848.85340112411,53.1581,168.959,273.227
STARLINK-2291,6783.47781106397,53.155,158.819,318.3022
STARLINK-2326,6848.8768551211,53.1579,191.3135,271.9645
STARLINK-2329,6848.87936806125,53.1581,165.8905,271.8367
STARLINK-2330,6831.73292618195,53.1409,126.3839,315.5752
STARLINK-2336,6784.89202115797,53.1528,180.5383,358.9468
STARLINK-2342,6707.16019839166,53.1535,159.0366,110.7844
STARLINK-2343,6848.87764507238,53.156,191.3273,268.3527
STARLINK-2346,6848.88079593694,53.1568,189.3977,266.8024
STARLINK-2354,6842.17744050714,53.1494,178.3019,311.0138
STARLINK-2355,6848.9761612354,53.1583,176.6318,254.3837
STARLINK-2356,6848.91031050267,53.1597,189.2735,258.2508
STARLINK-2358,6848.88693670515,53.1586,176.6295,269.0955
STARLINK-2361,6827.98792361775,53.1564,161.9831,339.8363
STARLINK-2363,6669.26972205224,53.1497,128.4331,116.8396
STARLINK-2364,6848.88605434149,53.1592,163.0343,241.8714
STARLINK-2367,6848.88916348226,53.1599,189.492,267.3411
STARLINK-2370,6848.90959208556,53.1575,178.532,250.385
STARLINK-2371,6848.8809539274,53.159,189.383,263.7415
STARLINK-2378,6848.91347034776,53.1588,164.087,266.1067
